date,rent,beds,baths,type,rent_category,frequency,furnishing,age_of_listing_in_days,location,city
1/11/2023,130000,2,3,Apartment,Medium,Yearly,Unfurnished,466,Al Raha Beach,Abu Dhabi
1/18/2023,110000,1,2,Apartment,Medium,Yearly,Unfurnished,459,Al Raha Beach,Abu Dhabi
1/20/2023,65000,1,2,Apartment,Low,Yearly,Unfurnished,457,Zayed Sports City,Abu Dhabi
1/20/2023,140000,3,4,Apartment,Medium,Yearly,Unfurnished,457,Rawdhat Abu Dhabi,Abu Dhabi
1/20/2023,60000,1,2,Apartment,Low,Yearly,Unfurnished,457,Rawdhat Abu Dhabi,Abu Dhabi
1/20/2023,75000,1,2,Apartment,Medium,Yearly,Unfurnished,457,Rawdhat Abu Dhabi,Abu Dhabi
1/20/2023,80000,2,3,Apartment,Medium,Yearly,Unfurnished,457,Rawdhat Abu Dhabi,Abu Dhabi
1/20/2023,71999,2,3,Apartment,Medium,Yearly,Unfurnished,457,Rawdhat Abu Dhabi,Abu Dhabi
1/23/2023,72500,2,3,Apartment,Medium,Yearly,Unfurnished,454,Al Reem Island,Abu Dhabi
1/23/2023,170000,4,5,Villa,High,Yearly,Unfurnished,454,Al Muroor,Abu Dhabi
1/23/2023,165000,4,5,Villa,High,Yearly,Unfurnished,454,Sas Al Nakhl Village,Abu Dhabi
1/23/2023,80000,1,2,Apartment,Medium,Yearly,Unfurnished,454,Al Raha Beach,Abu Dhabi
1/23/2023,38000,2,2,Apartment,Low,Yearly,Unfurnished,454,Al Jurf,Ajman
1/23/2023,44000,2,2,Apartment,Low,Yearly,Unfurnished,454,Al Owan,Ajman
1/23/2023,44000,2,2,Apartment,Low,Yearly,Unfurnished,454,Al Owan,Ajman
1/23/2023,17000,0,1,Apartment,Low,Yearly,Unfurnished,454,Al Jurf,Ajman
1/23/2023,27000,1,2,Apartment,Low,Yearly,Unfurnished,454,Al Jurf,Ajman
1/23/2023,31000,1,1,Apartment,Low,Yearly,Unfurnished,454,Al Jurf,Ajman
1/24/2023,180000,3,4,Apartment,High,Yearly,Unfurnished,453,Corniche Area,Abu Dhabi
1/24/2023,14000,1,1,Apartment,Low,Yearly,Unfurnished,453,New Industrial City,Ajman
1/25/2023,185000,3,4,Apartment,High,Yearly,Unfurnished,452,Al Raha Beach,Abu Dhabi
1/26/2023,130000,2,5,Apartment,Medium,Yearly,Unfurnished,451,Navy Gate,Abu Dhabi
1/27/2023,85000,3,3,Apartment,Medium,Yearly,Unfurnished,450,Al Khalidiyah,Abu Dhabi
1/28/2023,92000,2,3,Apartment,Medium,Yearly,Unfurnished,449,Al Raha Beach,Abu Dhabi
1/28/2023,178000,3,5,Apartment,High,Yearly,Unfurnished,449,Navy Gate,Abu Dhabi
1/29/2023,110000,2,2,Apartment,Medium,Yearly,Unfurnished,448,Al Bateen,Abu Dhabi
1/29/2023,95000,3,3,Apartment,Medium,Yearly,Unfurnished,448,Al Khalidiyah,Abu Dhabi
1/29/2023,85000,3,3,Apartment,Medium,Yearly,Unfurnished,448,Al Khalidiyah,Abu Dhabi
1/29/2023,75000,2,2,Apartment,Medium,Yearly,Unfurnished,448,Al Khalidiyah,Abu Dhabi
1/29/2023,105000,2,3,Apartment,Medium,Yearly,Unfurnished,448,Al Bateen,Abu Dhabi
1/29/2023,110000,2,2,Apartment,Medium,Yearly,Unfurnished,448,Al Tibbiya,Abu Dhabi
1/29/2023,100000,3,3,Apartment,Medium,Yearly,Unfurnished,448,Al Khalidiyah,Abu Dhabi
1/29/2023,125000,2,4,Apartment,Medium,Yearly,Unfurnished,448,Al Reem Island,Abu Dhabi
1/29/2023,75000,1,2,Apartment,Medium,Yearly,Unfurnished,448,Al Reem Island,Abu Dhabi
1/31/2023,98000,2,3,Apartment,Medium,Yearly,Unfurnished,446,Al Raha Beach,Abu Dhabi
2/1/2023,90000,1,1,Hotel Apartment,Medium,Yearly,Furnished,445,Al Muroor,Abu Dhabi
2/4/2023,50000,2,2,Apartment,Low,Yearly,Unfurnished,442,Al Shamkha,Abu Dhabi
2/5/2023,120000,2,3,Apartment,Medium,Yearly,Unfurnished,441,Corniche Area,Abu Dhabi
2/5/2023,25000,0,1,Apartment,Low,Yearly,Unfurnished,441,Mohammed Bin Zayed City,Abu Dhabi
2/7/2023,109999,2,3,Apartment,Medium,Yearly,Unfurnished,439,Al Reem Island,Abu Dhabi
2/8/2023,36000,1,1,Apartment,Low,Yearly,Unfurnished,438,Mohammed Bin Zayed City,Abu Dhabi
2/12/2023,59999,1,2,Apartment,Low,Yearly,Unfurnished,434,Al Raha Beach,Abu Dhabi
2/13/2023,115000,2,2,Apartment,Medium,Yearly,Unfurnished,433,Al Tibbiya,Abu Dhabi
2/13/2023,210000,3,3,Villa Compound,High,Yearly,Unfurnished,433,Al Matar,Abu Dhabi
2/15/2023,40000,2,2,Apartment,Low,Yearly,Unfurnished,431,Madinat Zayed Western Region,Abu Dhabi
2/16/2023,31000,0,1,Apartment,Low,Yearly,Unfurnished,430,Mohammed Bin Zayed City,Abu Dhabi
2/16/2023,135000,3,5,Apartment,Medium,Yearly,Unfurnished,430,Rawdhat Abu Dhabi,Abu Dhabi
2/21/2023,229999,3,5,Apartment,High,Yearly,Unfurnished,425,Al Raha Beach,Abu Dhabi
3/1/2023,135000,2,4,Apartment,Medium,Yearly,Unfurnished,417,Tourist Club Area (TCA),Abu Dhabi
3/2/2023,59999,1,2,Apartment,Low,Yearly,Unfurnished,416,Al Nahyan,Abu Dhabi
3/2/2023,80000,2,3,Apartment,Medium,Yearly,Unfurnished,416,Al Reem Island,Abu Dhabi
3/3/2023,55000,2,3,Apartment,Low,Yearly,Unfurnished,415,Al Nahyan,Abu Dhabi
3/5/2023,92000,2,4,Apartment,Medium,Yearly,Unfurnished,413,Al Raha Beach,Abu Dhabi
3/5/2023,129999,4,5,Apartment,Medium,Yearly,Unfurnished,413,Al Nahyan,Abu Dhabi
3/5/2023,55000,2,3,Apartment,Low,Yearly,Unfurnished,413,Al Nahyan,Abu Dhabi
3/6/2023,24000,0,1,Apartment,Low,Yearly,Unfurnished,412,Mohammed Bin Zayed City,Abu Dhabi
3/6/2023,90000,4,3,Apartment,Medium,Yearly,Unfurnished,412,Khalifa City,Abu Dhabi
3/6/2023,61000,2,3,Apartment,Low,Yearly,Unfurnished,412,Khalifa City,Abu Dhabi
3/7/2023,77916,2,3,Apartment,Medium,Yearly,Unfurnished,411,Danet Abu Dhabi,Abu Dhabi
3/8/2023,77916,2,3,Apartment,Medium,Yearly,Unfurnished,410,Danet Abu Dhabi,Abu Dhabi
3/8/2023,77916,2,3,Apartment,Medium,Yearly,Unfurnished,410,Danet Abu Dhabi,Abu Dhabi
3/8/2023,32000,2,3,Apartment,Low,Yearly,Unfurnished,410,Ajman Downtown,Ajman
3/9/2023,59999,1,2,Apartment,Low,Yearly,Unfurnished,409,Rawdhat Abu Dhabi,Abu Dhabi
3/9/2023,77916,2,3,Apartment,Medium,Yearly,Unfurnished,409,Danet Abu Dhabi,Abu Dhabi
3/10/2023,42000,0,1,Apartment,Low,Yearly,Unfurnished,408,Corniche Road,Abu Dhabi
3/11/2023,44999,1,2,Apartment,Low,Yearly,Unfurnished,407,Al Nahyan,Abu Dhabi
3/13/2023,135000,5,5,Villa,Medium,Yearly,Unfurnished,405,Al Bahia,Abu Dhabi
3/14/2023,55000,1,2,Apartment,Low,Yearly,Unfurnished,404,Al Reem Island,Abu Dhabi
3/14/2023,118000,2,2,Apartment,Medium,Yearly,Unfurnished,404,Zayed Sports City,Abu Dhabi
3/15/2023,50000,1,2,Apartment,Low,Yearly,Unfurnished,403,Al Raha Beach,Abu Dhabi
3/16/2023,120000,2,3,Apartment,Medium,Yearly,Unfurnished,402,Al Tibbiya,Abu Dhabi
3/16/2023,85000,2,3,Apartment,Medium,Yearly,Unfurnished,402,Al Reem Island,Abu Dhabi
3/18/2023,22000,1,1,Apartment,Low,Yearly,Unfurnished,400,Al Rashidiya,Ajman
3/20/2023,120000,2,3,Apartment,Medium,Yearly,Furnished,398,Al Markaziya,Abu Dhabi
3/20/2023,140000,3,3,Villa,Medium,Yearly,Unfurnished,398,Sas Al Nakhl Village,Abu Dhabi
3/20/2023,205000,3,4,Apartment,High,Yearly,Unfurnished,398,Al Markaziya,Abu Dhabi
3/20/2023,80000,1,2,Apartment,Medium,Yearly,Unfurnished,398,Al Markaziya,Abu Dhabi
3/20/2023,75000,3,4,Apartment,Medium,Yearly,Unfurnished,398,Al Najda Street,Abu Dhabi
3/20/2023,70000,3,3,Apartment,Medium,Yearly,Unfurnished,398,Al Falah Street,Abu Dhabi
3/21/2023,95000,4,4,Apartment,Medium,Yearly,Unfurnished,397,Madinat Zayed,Abu Dhabi
3/21/2023,27000,0,1,Apartment,Low,Yearly,Unfurnished,397,Al Khalidiyah,Abu Dhabi
3/21/2023,63000,2,2,Apartment,Low,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,150000,4,5,Villa,High,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,59990,1,1,Apartment,Low,Yearly,Unfurnished,397,Yas Island,Abu Dhabi
3/21/2023,170000,1,2,Apartment,High,Yearly,Unfurnished,397,Saadiyat Island,Abu Dhabi
3/21/2023,150000,4,5,Villa,High,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,84999,3,3,Apartment,Medium,Yearly,Unfurnished,397,Al Muroor,Abu Dhabi
3/21/2023,135000,4,5,Villa,Medium,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,140000,5,6,Villa,Medium,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,190000,5,6,Villa,High,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,140000,4,5,Villa,Medium,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,165000,4,5,Villa,High,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,200000,6,7,Villa,High,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,130000,3,5,Villa,Medium,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,52000,2,1,Apartment,Low,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,54000,0,1,Apartment,Low,Yearly,Unfurnished,397,Saadiyat Island,Abu Dhabi
3/21/2023,160000,8,7,Villa,High,Yearly,Unfurnished,397,Mohammed Bin Zayed City,Abu Dhabi
3/21/2023,175000,8,8,Villa,High,Yearly,Unfurnished,397,Khalifa City,Abu Dhabi
3/21/2023,65000,1,1,Apartment,Low,Yearly,Unfurnished,397,Saadiyat Island,Abu Dhabi
3/21/2023,60000,2,2,Apartment,Low,Yearly,Unfurnished,397,Mohammed Bin Zayed City,Abu Dhabi
3/23/2023,350000,5,6,Villa,High,Yearly,Unfurnished,395,Al Maqtaa,Abu Dhabi
3/23/2023,60000,2,2,Apartment,Low,Yearly,Unfurnished,395,Khalifa City,Abu Dhabi
3/24/2023,28000,0,1,Apartment,Low,Yearly,Unfurnished,394,Khalifa City,Abu Dhabi
3/24/2023,285000,2,4,Apartment,High,Yearly,Unfurnished,394,Saadiyat Island,Abu Dhabi
3/24/2023,65000,3,2,Apartment,Low,Yearly,Unfurnished,394,Al Karamah,Abu Dhabi
3/25/2023,265000,3,5,Apartment,High,Yearly,Furnished,393,Saadiyat Island,Abu Dhabi
3/29/2023,90000,2,3,Apartment,Medium,Yearly,Unfurnished,389,Khalifa City,Abu Dhabi
3/29/2023,80000,2,3,Apartment,Medium,Yearly,Unfurnished,389,Al Reem Island,Abu Dhabi
3/31/2023,65000,1,2,Apartment,Low,Yearly,Unfurnished,387,Al Reem Island,Abu Dhabi
3/31/2023,60000,2,2,Apartment,Low,Yearly,Unfurnished,387,Khalifa City,Abu Dhabi
3/31/2023,85000,1,2,Apartment,Medium,Yearly,Unfurnished,387,Al Reem Island,Abu Dhabi
3/31/2023,125999,2,4,Apartment,Medium,Yearly,Unfurnished,387,Al Raha Beach,Abu Dhabi
4/3/2023,175000,2,3,Apartment,High,Yearly,Furnished,384,Al Markaziya,Abu Dhabi
4/3/2023,95000,1,2,Apartment,Medium,Yearly,Furnished,384,Al Markaziya,Abu Dhabi
4/4/2023,79999,2,3,Apartment,Medium,Yearly,Unfurnished,383,Al Reem Island,Abu Dhabi
4/4/2023,85999,2,3,Apartment,Medium,Yearly,Unfurnished,383,Al Raha Beach,Abu Dhabi
4/6/2023,22000,1,1,Apartment,Low,Yearly,Unfurnished,381,Al Jurf,Ajman
4/7/2023,38000,1,1,Apartment,Low,Yearly,Unfurnished,380,Khalifa City,Abu Dhabi
4/7/2023,39000,1,1,Apartment,Low,Yearly,Unfurnished,380,Khalifa City,Abu Dhabi
4/10/2023,47999,0,1,Apartment,Low,Yearly,Unfurnished,377,Saadiyat Island,Abu Dhabi
4/12/2023,26000,1,2,Apartment,Low,Yearly,Unfurnished,375,Ajman Industrial,Ajman
4/12/2023,26000,1,2,Apartment,Low,Yearly,Unfurnished,375,Ajman Industrial,Ajman
4/13/2023,200000,7,8,Villa,High,Yearly,Unfurnished,374,Al Khalidiyah,Abu Dhabi
4/14/2023,35999,1,1,Apartment,Low,Yearly,Unfurnished,373,Khalifa City,Abu Dhabi
4/17/2023,150000,2,3,Apartment,High,Yearly,Unfurnished,370,Al Raha Beach,Abu Dhabi
4/17/2023,72999,2,3,Apartment,Medium,Yearly,Unfurnished,370,Al Reem Island,Abu Dhabi
4/19/2023,190000,4,4,Villa,High,Yearly,Unfurnished,368,Al Khalidiyah,Abu Dhabi
4/19/2023,199999,5,7,Villa,High,Yearly,Unfurnished,368,Khalifa City,Abu Dhabi
4/19/2023,280000,5,9,Villa,High,Yearly,Unfurnished,368,Al Matar,Abu Dhabi
4/19/2023,195000,5,8,Villa,High,Yearly,Unfurnished,368,Al Matar,Abu Dhabi
4/24/2023,90000,1,2,Apartment,Medium,Yearly,Unfurnished,363,Al Reem Island,Abu Dhabi
4/24/2023,215000,3,4,Apartment,High,Yearly,Furnished,363,Al Markaziya,Abu Dhabi
4/25/2023,118000,3,4,Villa,Medium,Yearly,Unfurnished,362,Al Samha,Abu Dhabi
4/25/2023,35000,1,1,Apartment,Low,Yearly,Unfurnished,362,Mohammed Bin Zayed City,Abu Dhabi
4/25/2023,60000,3,3,Apartment,Low,Yearly,Unfurnished,362,Mussafah,Abu Dhabi
4/26/2023,110000,4,5,Villa,Medium,Yearly,Unfurnished,361,Khalifa City,Abu Dhabi
4/26/2023,23000,0,1,Apartment,Low,Yearly,Unfurnished,361,Shakhbout City,Abu Dhabi
4/27/2023,250000,5,5,Villa,High,Yearly,Unfurnished,360,Mohammed Bin Zayed City,Abu Dhabi
4/28/2023,105000,2,3,Apartment,Medium,Yearly,Unfurnished,359,Danet Abu Dhabi,Abu Dhabi
4/29/2023,40000,0,1,Apartment,Low,Yearly,Unfurnished,358,Al Nahyan,Abu Dhabi
5/1/2023,269500,5,6,Villa,High,Yearly,Unfurnished,356,Khalifa City,Abu Dhabi
5/2/2023,78000,2,3,Apartment,Medium,Yearly,Unfurnished,355,Al Reem Island,Abu Dhabi
5/2/2023,800000,6,8,Villa,High,Yearly,Unfurnished,355,The Marina,Abu Dhabi
5/2/2023,130000,2,3,Apartment,Medium,Yearly,Unfurnished,355,Al Zahraa,Abu Dhabi
5/2/2023,89999,2,3,Apartment,Medium,Yearly,Unfurnished,355,Al Reem Island,Abu Dhabi
5/2/2023,125000,3,4,Apartment,Medium,Yearly,Unfurnished,355,Corniche Area,Abu Dhabi
5/2/2023,55000,1,2,Apartment,Low,Yearly,Unfurnished,355,Al Reem Island,Abu Dhabi
5/3/2023,56000,2,2,Apartment,Low,Yearly,Unfurnished,354,Khalifa City,Abu Dhabi
5/4/2023,33999,0,1,Apartment,Low,Yearly,Unfurnished,353,Al Mushrif,Abu Dhabi
5/4/2023,29000,0,1,Apartment,Low,Yearly,Unfurnished,353,Khalifa City,Abu Dhabi
5/5/2023,80000,2,3,Apartment,Medium,Yearly,Unfurnished,352,Al Reem Island,Abu Dhabi
5/6/2023,35000,1,1,Apartment,Low,Yearly,Unfurnished,351,Hamdan Street,Abu Dhabi
5/7/2023,170000,1,2,Apartment,High,Yearly,Unfurnished,350,The Marina,Abu Dhabi
5/8/2023,42999,1,1,Apartment,Low,Yearly,Unfurnished,349,Khalifa City,Abu Dhabi
5/8/2023,56000,2,2,Apartment,Low,Yearly,Unfurnished,349,Khalifa City,Abu Dhabi
5/8/2023,48000,1,1,Apartment,Low,Yearly,Furnished,349,Khalifa City,Abu Dhabi
5/9/2023,40000,1,1,Apartment,Low,Yearly,Unfurnished,348,Khalifa City,Abu Dhabi
5/9/2023,200000,8,11,Villa,High,Yearly,Unfurnished,348,Al Karamah,Abu Dhabi
5/9/2023,185000,3,4,Townhouse,High,Yearly,Unfurnished,348,Al Matar,Abu Dhabi
5/10/2023,179999,4,5,Apartment,High,Yearly,Unfurnished,347,Al Raha Beach,Abu Dhabi
5/10/2023,50000,0,1,Apartment,Low,Yearly,Unfurnished,347,Al Reem Island,Abu Dhabi
5/10/2023,74999,2,3,Apartment,Medium,Yearly,Unfurnished,347,Al Reem Island,Abu Dhabi
5/10/2023,24000,0,1,Apartment,Low,Yearly,Unfurnished,347,Mohammed Bin Zayed City,Abu Dhabi
5/10/2023,158000,3,4,Apartment,High,Yearly,Unfurnished,347,Eastern Road,Abu Dhabi
5/11/2023,90000,2,3,Apartment,Medium,Yearly,Unfurnished,346,Al Raha Beach,Abu Dhabi
5/11/2023,45000,2,2,Apartment,Low,Yearly,Unfurnished,346,Hamdan Street,Abu Dhabi
5/11/2023,55000,3,3,Apartment,Low,Yearly,Unfurnished,346,Hamdan Street,Abu Dhabi
5/11/2023,80000,3,3,Apartment,Medium,Yearly,Unfurnished,346,Al Mushrif,Abu Dhabi
5/11/2023,65000,2,2,Apartment,Low,Yearly,Unfurnished,346,Khalifa City,Abu Dhabi
5/11/2023,55000,3,2,Apartment,Low,Yearly,Unfurnished,346,Hamdan Street,Abu Dhabi
5/12/2023,65000,3,3,Apartment,Low,Yearly,Unfurnished,345,Al Manaseer,Abu Dhabi
5/12/2023,70000,3,3,Penthouse,Medium,Yearly,Unfurnished,345,Al Manaseer,Abu Dhabi
5/12/2023,50999,1,2,Apartment,Low,Yearly,Unfurnished,345,Al Raha Beach,Abu Dhabi
5/14/2023,27000,0,1,Apartment,Low,Yearly,Unfurnished,343,Khalifa City,Abu Dhabi
5/15/2023,45000,0,1,Apartment,Low,Yearly,Unfurnished,342,Al Reem Island,Abu Dhabi
5/15/2023,122500,2,4,Apartment,Medium,Yearly,Unfurnished,342,Al Reem Island,Abu Dhabi
5/16/2023,59999,1,2,Apartment,Low,Yearly,Unfurnished,341,Masdar City,Abu Dhabi
5/17/2023,95000,2,2,Apartment,Medium,Yearly,Unfurnished,340,Al Raha Beach,Abu Dhabi
5/18/2023,30000,1,1,Apartment,Low,Yearly,Unfurnished,339,Electra Street,Abu Dhabi
5/18/2023,87500,1,2,Apartment,Medium,Yearly,Unfurnished,339,Saadiyat Island,Abu Dhabi
5/18/2023,105000,3,4,Apartment,Medium,Yearly,Unfurnished,339,Al Reem Island,Abu Dhabi
5/18/2023,60000,1,1,Apartment,Low,Yearly,Unfurnished,339,Al Reem Island,Abu Dhabi
5/18/2023,170000,5,5,Villa,High,Yearly,Unfurnished,339,Al Bahia,Abu Dhabi
5/19/2023,180000,3,4,Villa,High,Yearly,Unfurnished,338,Al Matar,Abu Dhabi
5/19/2023,145000,2,3,Apartment,High,Yearly,Furnished,338,Eastern Road,Abu Dhabi
5/19/2023,55000,0,1,Apartment,Low,Yearly,Furnished,338,Al Nahyan,Abu Dhabi
5/19/2023,149999,2,3,Apartment,High,Yearly,Unfurnished,338,Saadiyat Island,Abu Dhabi
5/22/2023,220000,1,2,Apartment,High,Yearly,Unfurnished,335,Saadiyat Island,Abu Dhabi
5/23/2023,56000,1,2,Apartment,Low,Yearly,Unfurnished,334,Al Reem Island,Abu Dhabi
5/23/2023,149999,3,5,Apartment,High,Yearly,Unfurnished,334,Corniche Road,Abu Dhabi
5/24/2023,45999,1,1,Apartment,Low,Yearly,Furnished,333,Al Muroor,Abu Dhabi
5/24/2023,12000,0,1,Apartment,Low,Yearly,Unfurnished,333,Al Nuaimiya,Ajman
5/25/2023,62000,1,2,Apartment,Low,Yearly,Unfurnished,332,Al Reem Island,Abu Dhabi
5/25/2023,175000,3,4,Townhouse,High,Yearly,Unfurnished,332,Al Matar,Abu Dhabi
5/25/2023,70000,1,2,Apartment,Medium,Yearly,Unfurnished,332,Al Raha Beach,Abu Dhabi
5/26/2023,80000,3,3,Penthouse,Medium,Yearly,Unfurnished,331,Al Mushrif,Abu Dhabi
5/26/2023,52000,2,2,Apartment,Low,Yearly,Unfurnished,331,Al Mushrif,Abu Dhabi
5/26/2023,55000,3,2,Apartment,Low,Yearly,Unfurnished,331,Tourist Club Area (TCA),Abu Dhabi
5/27/2023,56000,2,2,Apartment,Low,Yearly,Unfurnished,330,Khalifa City,Abu Dhabi
5/27/2023,32000,1,1,Apartment,Low,Yearly,Unfurnished,330,Mohammed Bin Zayed City,Abu Dhabi
5/27/2023,333000,8,9,Villa Compound,High,Yearly,Unfurnished,330,Al Bahia,Abu Dhabi
5/28/2023,30000,0,1,Apartment,Low,Yearly,Unfurnished,329,Khalifa City,Abu Dhabi
5/28/2023,65000,2,2,Apartment,Low,Yearly,Unfurnished,329,Khalifa City,Abu Dhabi
5/29/2023,160000,7,7,Villa,High,Yearly,Unfurnished,328,Mohammed Bin Zayed City,Abu Dhabi
5/29/2023,52000,1,1,Apartment,Low,Yearly,Unfurnished,328,Hamdan Street,Abu Dhabi
5/29/2023,140000,2,3,Apartment,Medium,Yearly,Unfurnished,328,Al Raha Beach,Abu Dhabi
5/29/2023,131999,3,4,Apartment,Medium,Yearly,Unfurnished,328,Al Raha Beach,Abu Dhabi
5/29/2023,85000,1,2,Apartment,Medium,Yearly,Unfurnished,328,Al Raha Beach,Abu Dhabi
5/29/2023,40000,0,1,Apartment,Low,Yearly,Unfurnished,328,Al Nahyan,Abu Dhabi
5/29/2023,50000,1,2,Apartment,Low,Yearly,Unfurnished,328,Hamdan Street,Abu Dhabi
5/29/2023,290000,11,8,Villa,High,Yearly,Unfurnished,328,Khalifa City,Abu Dhabi
5/30/2023,38200,0,1,Apartment,Low,Yearly,Unfurnished,327,Corniche Road,Abu Dhabi
5/30/2023,220000,5,6,Villa,High,Yearly,Unfurnished,327,Al Raha Gardens,Abu Dhabi
5/30/2023,42000,2,2,Apartment,Low,Yearly,Unfurnished,327,Al Muroor,Abu Dhabi
5/31/2023,290000,2,4,Apartment,High,Yearly,Unfurnished,326,Saadiyat Island,Abu Dhabi
6/1/2023,280000,2,3,Apartment,High,Yearly,Furnished,325,The Marina,Abu Dhabi
6/1/2023,32000,0,1,Apartment,Low,Yearly,Unfurnished,325,Hamdan Street,Abu Dhabi
6/2/2023,56000,1,2,Apartment,Low,Yearly,Unfurnished,324,Al Reem Island,Abu Dhabi
6/2/2023,32000,0,1,Apartment,Low,Yearly,Unfurnished,324,Mohammed Bin Zayed City,Abu Dhabi
6/2/2023,510000,4,7,Villa,High,Yearly,Furnished,324,Al Raha Beach,Abu Dhabi
6/2/2023,32000,2,2,Apartment,Low,Yearly,Unfurnished,324,Al Nuaimiya,Ajman
6/2/2023,34000,2,2,Apartment,Low,Yearly,Unfurnished,324,Al Jurf,Ajman
6/2/2023,22000,1,2,Apartment,Low,Yearly,Unfurnished,324,Al Rashidiya,Ajman
6/3/2023,74999,2,3,Apartment,Medium,Yearly,Unfurnished,323,Al Muroor,Abu Dhabi
6/3/2023,110000,4,5,Apartment,Medium,Yearly,Unfurnished,323,Al Muroor,Abu Dhabi
6/3/2023,44999,2,2,Apartment,Low,Yearly,Unfurnished,323,Al Muroor,Abu Dhabi
6/3/2023,80000,3,3,Apartment,Medium,Yearly,Unfurnished,323,Al Muroor,Abu Dhabi
6/3/2023,80000,2,3,Apartment,Medium,Yearly,Unfurnished,323,Al Raha Beach,Abu Dhabi
6/3/2023,60000,3,3,Apartment,Low,Yearly,Unfurnished,323,Al Nahyan,Abu Dhabi
6/3/2023,50000,2,2,Apartment,Low,Yearly,Unfurnished,323,Al Wahdah,Abu Dhabi
6/3/2023,57000,2,2,Apartment,Low,Yearly,Unfurnished,323,Khalifa City,Abu Dhabi
6/3/2023,50000,1,2,Apartment,Low,Yearly,Unfurnished,323,Tourist Club Area (TCA),Abu Dhabi
6/3/2023,80000,3,3,Apartment,Medium,Yearly,Unfurnished,323,Al Muroor,Abu Dhabi
6/4/2023,45000,1,2,Apartment,Low,Yearly,Unfurnished,322,Khalifa City,Abu Dhabi
6/5/2023,88000,3,4,Apartment,Medium,Yearly,Unfurnished,321,Mussafah,Abu Dhabi
6/5/2023,74999,2,3,Apartment,Medium,Yearly,Unfurnished,321,Al Muroor,Abu Dhabi
6/5/2023,40000,1,2,Apartment,Low,Yearly,Unfurnished,321,Al Mushrif,Abu Dhabi
6/5/2023,55000,3,4,Villa,Low,Yearly,Unfurnished,321,Al Mushrif,Abu Dhabi
6/5/2023,32000,0,1,Apartment,Low,Yearly,Unfurnished,321,Hamdan Street,Abu Dhabi
6/5/2023,70000,3,3,Apartment,Medium,Yearly,Unfurnished,321,Khalifa City,Abu Dhabi
6/5/2023,55000,2,3,Apartment,Low,Yearly,Unfurnished,321,Al Muroor,Abu Dhabi
6/6/2023,36000,1,1,Apartment,Low,Yearly,Unfurnished,320,Al Nahyan,Abu Dhabi
